Year,Disaster Type,Disaster Subtype,Event Name,Country,ISO,Region,Continent,Latitude,Longitude,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI
2001,Volcanic activity,Ash fall,Tungurahua,Ecuador,ECU,South America,Americas,-1.467,-78.442,2001,8,14,2001,8,14,,,22770,,22770,10975,18139,60.50357889
2018,Volcanic activity,Lava flow,Mt. Mayon,Philippines (the),PHL,South-Eastern Asia,Asia,,,2018,1,13,2018,3,6,,,86056,,86056,3564,4154,85.80302606
2001,Volcanic activity,Ash fall,Mt. Etna,Italy,ITA,Southern Europe,Europe,37.734,15.004,2001,7,18,2001,7,18,,,,,,3100,5124,60.50357889
2000,Volcanic activity,Ash fall,Mt. Mayon,Philippines (the),PHL,South-Eastern Asia,Asia,13.257,123.685,2000,2,24,2000,3,9,,,68426,,68426,2214,3763,58.84064849
1971,Volcanic activity,Ash fall,Cerro Negro,Nicaragua,NIC,Central America,Americas,,,1971,2,3,1971,2,3,,,3000,600,3600,2000,14455,13.83598355
2001,Volcanic activity,Ash fall,Mt. Mayon,Philippines (the),PHL,South-Eastern Asia,Asia,,,2001,7,25,2001,7,25,,,57645,,57645,1788,2955,60.50357889
1991,Volcanic activity,Ash fall,Mt. Lokon,Indonesia,IDN,South-Eastern Asia,Asia,1.36 N,124.79 E,1991,10,24,1991,10,24,,,7679,,7679,1000,2149,46.53662061
2001,Volcanic activity,Ash fall,Mt. Mayon,Philippines (the),PHL,South-Eastern Asia,Asia,13.257,123.685,2001,5,24,2001,5,24,,,25576,,25576,792,1309,60.50357889
1995,Volcanic activity,Ash fall,Cerro Negro,Nicaragua,NIC,Central America,Americas,12.5 N,86.7 W,1995,11,21,1995,11,21,,,12000,,12000,722,1387,52.06929869
1976,Volcanic activity,Ash fall,Mount Taal,Philippines (the),PHL,South-Eastern Asia,Asia,,,1976,9,3,1976,9,3,,,11510,,11510,679,3492,19.44554409
1969,Volcanic activity,Ash fall,,Indonesia,IDN,South-Eastern Asia,Asia,,,1969,,,1969,,,,,250000,,250000,200,1596,12.53467526
1975,Volcanic activity,Ash fall,El Sangay,Ecuador,ECU,South America,Americas,,,1975,7,8,1975,7,8,,,,,,,,18.38912907
1975,Volcanic activity,Ash fall,,Ecuador,ECU,South America,Americas,,,1975,12,,1975,12,,,,,,,,,18.38912907
1976,Volcanic activity,Ash fall,Mt Arenal,Costa Rica,CRI,Central America,Americas,,,1976,10,21,1976,10,21,,,70000,,70000,,,19.44554409
1976,Volcanic activity,Ash fall,Mount Soufriere,Guadeloupe,GLP,Caribbean,Americas,,,1976,8,30,1976,8,30,,3,75000,,75003,,,19.44554409
1943,Volcanic activity,Ash fall,Paricutin,Mexico,MEX,Central America,Americas,,,1943,2,20,1943,2,20,,,3000,,3000,,,5.92609557
1946,Volcanic activity,Ash fall,Niuafo'ou,Tonga,TON,Polynesia,Oceania,,,1946,,,1946,,,,,2500,,2500,,,6.678253854
1956,Volcanic activity,Ash fall,Mount Bezymianny,Soviet Union,SUN,Russian Federation,Europe,,,1956,3,20,1956,3,20,,,,,,,,9.288531531
1957,Volcanic activity,Ash fall,Manam,Papua New Guinea,PNG,Melanesia,Oceania,-4.08,145.037,1957,12,,1957,12,,,,3200,,3200,,,9.598904063
1960,Volcanic activity,Ash fall,Manam,Papua New Guinea,PNG,Melanesia,Oceania,-4.08,145.037,1960,3,17,1960,3,17,,,2000,,2000,,,10.10576299
1969,Volcanic activity,Ash fall,Mount Kanlaon,Philippines (the),PHL,South-Eastern Asia,Asia,,,1969,10,5,1969,10,5,,,1700,,1700,,,12.53467526
1971,Volcanic activity,Ash fall,Tinakula,Solomon Islands,SLB,Melanesia,Oceania,,,1971,,,1971,,,,,6000,,6000,,,13.83598355
1977,Volcanic activity,Ash fall,La Fournaise,RÇunion,REU,Eastern Africa,Africa,,,1977,4,8,1977,4,8,,,1000,,1000,,,20.7098325
1978,Volcanic activity,Ash fall,Mount Mayon,Philippines (the),PHL,South-Eastern Asia,Asia,,,1978,5,,1978,5,,,,25000,,25000,,,22.29019504
1978,Volcanic activity,Ash fall,Bulusan,Philippines (the),PHL,South-Eastern Asia,Asia,,,1978,8,,1978,8,,,,1000,,1000,,,22.29019504
1971,Volcanic activity,Ash fall,Mount Soufriere,Saint Vincent and the Grenadines,VCT,Caribbean,Americas,,,1971,10,17,1971,10,17,,,2000,,2000,,,13.83598355
1983,Volcanic activity,Ash fall,Santiaquito,Guatemala,GTM,Central America,Americas,,,1983,7,6,1983,7,6,,,3500,,3500,,,34.03326363
1984,Volcanic activity,Ash fall,Zaltenango,Guatemala,GTM,Central America,Americas,,,1984,7,6,1984,7,6,,,3000,,3000,,,35.49688113
1987,Volcanic activity,Ash fall,Pacayo,Guatemala,GTM,Central America,Americas,,,1987,1,21,1987,1,25,,35,3000,,3035,,,38.82560081
1988,Volcanic activity,Ash fall,Lonquimay,Chile,CHL,South America,Americas,,,1988,12,,1988,12,,,,2000,,2000,,,40.40880605
