Year,Disaster Type,Disaster Subtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Latitude,Longitude,Local Time,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI
2019,Volcanic activity,Ash fall,Ubinas,Peru,PER,South America,Americas,"Moquegua, Arequipa, Puno,Tacna Departments",,,,,2019,7,19,2019,7,22,,,30000,,30000,,,87.35800677
2020,Volcanic activity,Ash fall,Lewotolo Volcano,Indonesia,IDN,South-Eastern Asia,Asia,"Lembata Regency, Solor Archipelago",,,,,2020,11,29,2020,12,31,,,19736,,19736,,,88.43564081
2020,Volcanic activity,Lava flow,Mount Semeru,Indonesia,IDN,South-Eastern Asia,Asia,East Java Province,,,,,2020,12,1,2020,12,1,,,550,,550,,,88.43564081
2021,Volcanic activity,Ash fall,Mount Sangay,Ecuador,ECU,South America,Americas,Chimborazo province,,,,,2021,3,,2021,3,15,,,133306,,133306,,,92.59019293
2021,Volcanic activity,Lava flow,Mount Merapi,Indonesia,IDN,South-Eastern Asia,Asia,Central Java,,,,,2021,1,17,2021,1,17,,,1329,,1329,,,92.59019293
2022,Volcanic activity,Pyroclastic flow,Mount Merapi,Indonesia,IDN,South-Eastern Asia,Asia,Special Region of Yogyakarta,,,,,2022,3,6,2022,3,10,,,253,,253,,,100
2021,Volcanic activity,Lava flow,Mount Nyiragongo,Rwanda,RWA,Eastern Africa,Africa,"Gisenyi, Rugerero, Rubavu and Nyamyumba (Rubavu district)",Seismic acitivities,,,,2021,5,22,2021,5,23,,,11625,1740,13365,,,92.59019293
2021,Volcanic activity,,Taal volcano,Philippines (the),PHL,South-Eastern Asia,Asia,Agoncillo and Laurel municipaliies (Batangas in Luzon),,,,,2021,7,1,2021,7,23,,,22433,,22433,,,92.59019293
2021,Volcanic activity,Ash fall,Volcano 'Yasur',Vanuatu,VUT,Melanesia,Oceania,,,,,,2021,10,21,2021,10,22,,,3383,,3383,,,92.59019293
2022,Volcanic activity,Ash fall,Mount Semeru,Indonesia,IDN,South-Eastern Asia,Asia,East Java Province,,,,2:46,2022,12,4,2022,12,5,,,2489,,2489,,,100
2022,Volcanic activity,,Taal,Philippines (the),PHL,South-Eastern Asia,Asia,Agoncillo and Laurel minicpalities (Batangas Province),,,,,2022,3,26,2022,3,31,,,10415,,10415,,,100
2023,Volcanic activity,Ash fall,Mount Fuego,Guatemala,GTM,Central America,Americas,"San Pedro Yepocapa, Chimaltenango, Panimach‚ I and II villages, El Porvenir and Morelia muncipalities",,,,,2023,5,5,2023,5,5,,,1054,,1054,,,
2023,Volcanic activity,Lava flow,Mount 'Mayon',Philippines (the),PHL,South-Eastern Asia,Asia,"Bacacay, Camalig, Daraga, Guinobatan, Ligao, Malilipot, Santo Domingo, Tabaco (Albay Province, Bicol Region)",,,,,2023,6,5,2023,6,29,,628,41500,,42128,,,
